"Gif","FullGifPath","FrameCount","MaxAnchorDelta","MaxSoleDelta","MaxCenterDelta","MaxPixelDeltaPct","MaxBboxWidthDelta","MaxBboxHeightDelta","RiskScore","WorkDir"
"pullover-halter-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\pullover-halter-animado-review-v3.gif","13","6.78","0","0.54","9.19","22","50","322.12","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\pullover-halter-animado-review-v3\20260525-133425"
"supino-reto-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\supino-reto-halteres-animado-review-v3.gif","13","13.26","0","1.4","17.96","7","44","316.87","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\supino-reto-halteres-animado-review-v3\20260525-133425"
"boxe-leve-saco-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\boxe-leve-saco-animado-review-v3.gif","11","5.84","0","25.56","53.94","63","21","303.85","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\boxe-leve-saco-animado-review-v3\20260525-133425"
"elevacao-lateral-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\elevacao-lateral-halteres-animado-review-v3.gif","13","0.05","0","0.65","8.05","57","0","208.68","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\elevacao-lateral-halteres-animado-review-v3\20260525-133425"
"crucifixo-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\crucifixo-halteres-animado-review-v3.gif","13","0.1","1","1.17","17.09","8","43","207.91","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\crucifixo-halteres-animado-review-v3\20260525-133425"
"flexao-inclinada-banco-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\flexao-inclinada-banco-animado-review-v3.gif","13","2.58","0","1.97","2.97","15","30","190.83","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\flexao-inclinada-banco-animado-review-v3\20260525-133425"
"agachamento-livre-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\agachamento-livre-animado-review-v3.gif","13","0.94","0","5.76","0.3","5","30","176.89","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\agachamento-livre-animado-review-v3\20260525-133425"
"afundo-andando-halteres-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\afundo-andando-halteres-animado-review-v3.gif","8","8.31","0","2.31","45.75","41","8","173.9","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\afundo-andando-halteres-animado-review-v3\20260525-133425"
"elevacao-de-pernas-deitado-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\elevacao-de-pernas-deitado-animado-review-v3.gif","8","4.58","1","0.95","0.37","8","56","169.08","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\elevacao-de-pernas-deitado-animado-review-v3\20260525-133425"
"goblet-squat-animado-review-v3.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v3\goblet-squat-animado-review-v3.gif","13","0.65","0","4.63","5.67","16","15","160.4","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\goblet-squat-animado-review-v3\20260525-133425"
